Sample,Year,location,treatment,trtname,chemical,rep,isloc,isattempt,isrecover,isolate_multi_spec,multispecplant,camefrom,isolate_code,Long Term Storage,accession,voucher,percentage of identical matches,Bitscore,TaxCutoff,Highest BLAST taxonomy,Conservative Taxonomy,clade
VAL1602_72,2016,IL,2,Intego Suite,Ethaboxam + Metalaxyl + Ipiconazole,3,root,TRUE,FALSE,FALSE,,VAL1602_72,.,.,.,.,.,.,.,.,.,.
VAL1602_72,2016,IL,2,Intego Suite,Ethaboxam + Metalaxyl + Ipiconazole,3,stem,TRUE,FALSE,FALSE,,VAL1602_72,.,.,.,.,.,.,.,.,.,.
VAL1602_73,2016,IL,2,Intego Suite,Ethaboxam + Metalaxyl + Ipiconazole,3,root,TRUE,FALSE,FALSE,,VAL1602_73,.,.,.,.,.,.,.,.,.,.
VAL1602_73,2016,IL,2,Intego Suite,Ethaboxam + Metalaxyl + Ipiconazole,3,stem,TRUE,FALSE,FALSE,,VAL1602_73,.,.,.,.,.,.,.,.,.,.
VAL1603_01,2016,IN,1,NTC,none,3,root,TRUE,FALSE,FALSE,,VAL1603_01,.,.,.,.,.,.,.,.,.,.
VAL1603_01,2016,IN,1,NTC,none,3,stem,TRUE,TRUE,FALSE,,VAL1603_01,.,.,.,.,.,.,.,.,.,.
VAL1603_80,2016,IN,1,NTC,none,1,stem,FALSE,.,.,,VAL1603_01,VAL1603_80,1,AY598645,CBS 453.67,100,1796,Pass,Pythium sylvaticum  ,Pythium sylvaticum,F
VAL1603_02,2016,IN,1,NTC,none,3,stem,TRUE,FALSE,FALSE,,VAL1603_02,.,.,.,.,.,.,.,.,.,.
VAL1603_02,2016,IN,1,NTC,none,3,root,TRUE,TRUE,FALSE,,VAL1603_02,VAL1603_02,1,AY598657,CBS 398.51,99,1568,Pass,Pythium ultimum var. ultimum,Pythium ultimum var. ultimum,I
VAL1603_03,2016,IN,1,NTC,none,3,root,TRUE,FALSE,FALSE,,VAL1603_03,.,.,.,.,.,.,.,.,.,.
VAL1603_03,2016,IN,1,NTC,none,3,stem,TRUE,FALSE,FALSE,,VAL1603_03,.,.,.,.,.,.,.,.,.,.
VAL1603_04,2016,IN,1,NTC,none,3,root,TRUE,FALSE,FALSE,,VAL1603_04,.,.,.,.,.,.,.,.,.,.
VAL1603_04,2016,IN,1,NTC,none,3,stem,TRUE,FALSE,FALSE,,VAL1603_04,.,.,.,.,.,.,.,.,.,.
VAL1603_05,2016,IN,1,NTC,none,3,root,TRUE,FALSE,FALSE,,VAL1603_05,.,.,.,.,.,.,.,.,.,.
VAL1603_05,2016,IN,1,NTC,none,3,stem,TRUE,TRUE,FALSE,,VAL1603_05,VAL1603_05,1,KJ639272,ATCC 58811,100,1531,Pass,Pythium ultimum var. ultimum,Pythium ultimum var. ultimum,I
VAL1603_06,2016,IN,1,NTC,none,3,root,TRUE,FALSE,FALSE,,VAL1603_06,.,.,.,.,.,.,.,.,.,.
VAL1603_06,2016,IN,1,NTC,none,3,stem,TRUE,FALSE,FALSE,,VAL1603_06,.,.,.,.,.,.,.,.,.,.
VAL1603_07,2016,IN,1,NTC,none,3,root,TRUE,FALSE,FALSE,,VAL1603_07,.,.,.,.,.,.,.,.,.,.
VAL1603_07,2016,IN,1,NTC,none,3,stem,TRUE,FALSE,FALSE,,VAL1603_07,.,.,.,.,.,.,.,.,.,.
VAL1603_08,2016,IN,1,NTC,none,3,root,TRUE,FALSE,FALSE,,VAL1603_08,.,.,.,.,.,.,.,.,.,.
VAL1603_08,2016,IN,1,NTC,none,3,stem,TRUE,FALSE,FALSE,,VAL1603_08,.,.,.,.,.,.,.,.,.,.
VAL1603_09,2016,IN,1,NTC,none,2,root,TRUE,FALSE,FALSE,,VAL1603_09,.,.,.,.,.,.,.,.,.,.
VAL1603_09,2016,IN,1,NTC,none,2,stem,TRUE,FALSE,FALSE,,VAL1603_09,.,.,.,.,.,.,.,.,.,.
VAL1603_10,2016,IN,1,NTC,none,2,root,TRUE,FALSE,FALSE,,VAL1603_10,.,.,.,.,.,.,.,.,.,.
VAL1603_10,2016,IN,1,NTC,none,2,stem,TRUE,TRUE,FALSE,,VAL1603_10,VAL1603_10,1,KJ639275,CBS 111.65,100,1555,Pass,Pythium ultimum var. sporangiiferum,Pythium ultimum var. sporangiiferum,I
VAL1603_11,2016,IN,1,NTC,none,2,stem,TRUE,FALSE,FALSE,,VAL1603_11,.,.,.,.,.,.,.,.,.,.
VAL1603_11,2016,IN,1,NTC,none,2,root,TRUE,TRUE,FALSE,,VAL1603_11,VAL1603_11,1,AY598645,CBS 453.67,100,1788,Pass,Pythium sylvaticum  ,Pythium sylvaticum,F
VAL1603_12,2016,IN,1,NTC,none,2,root,TRUE,FALSE,FALSE,,VAL1603_12,.,.,.,.,.,.,.,.,.,.
VAL1603_12,2016,IN,1,NTC,none,2,stem,TRUE,TRUE,FALSE,,VAL1603_12,VAL1603_12,1,AY598709,CBS 808.96,98,1676,Pass,Pythium nunn  ,Pythium nunn,J
VAL1603_13,2016,IN,1,NTC,none,2,stem,TRUE,FALSE,FALSE,,VAL1603_13,.,.,.,.,.,.,.,.,.,.
VAL1603_13,2016,IN,1,NTC,none,2,root,TRUE,TRUE,FALSE,,VAL1603_13,VAL1603_13,1,AY598709,CBS 808.96,99,1700,Pass,Pythium nunn  ,Pythium nunn,J
VAL1603_14,2016,IN,1,NTC,none,2,root,TRUE,FALSE,FALSE,,VAL1603_14,.,.,.,.,.,.,.,.,.,.
VAL1603_14,2016,IN,1,NTC,none,2,stem,TRUE,FALSE,FALSE,,VAL1603_14,.,.,.,.,.,.,.,.,.,.
VAL1603_15,2016,IN,1,NTC,none,2,stem,TRUE,TRUE,FALSE,,VAL1603_15,.,.,.,.,.,.,.,.,.,.
VAL1603_15,2016,IN,1,NTC,none,2,root,TRUE,TRUE,FALSE,,VAL1603_15,VAL1603_15,1,HQ643476,DAOM 230386,100,1639,Pass,Pythium attrantheridium  ,Pythium attrantheridium,F
VAL1603_81,2016,IN,1,NTC,none,2,stem,FALSE,.,.,,VAL1603_15,VAL1603_81,1,KJ639272,ATCC 58811,100,1400,Pass,Pythium ultimum var. ultimum,Pythium ultimum var. ultimum,I
VAL1603_16,2016,IN,1,NTC,none,2,root,TRUE,FALSE,FALSE,,VAL1603_16,.,.,.,.,.,.,.,.,.,.
VAL1603_16,2016,IN,1,NTC,none,2,stem,TRUE,FALSE,FALSE,,VAL1603_16,.,.,.,.,.,.,.,.,.,.
VAL1603_17,2016,IN,2,Intego Suite,Ethaboxam + Metalaxyl + Ipiconazole,3,root,TRUE,FALSE,FALSE,,VAL1603_17,.,.,.,.,.,.,.,.,.,.
VAL1603_17,2016,IN,2,Intego Suite,Ethaboxam + Metalaxyl + Ipiconazole,3,stem,TRUE,FALSE,FALSE,,VAL1603_17,.,.,.,.,.,.,.,.,.,.
VAL1603_18,2016,IN,2,Intego Suite,Ethaboxam + Metalaxyl + Ipiconazole,3,root,TRUE,FALSE,FALSE,,VAL1603_18,.,.,.,.,.,.,.,.,.,.
VAL1603_18,2016,IN,2,Intego Suite,Ethaboxam + Metalaxyl + Ipiconazole,3,stem,TRUE,TRUE,FALSE,,VAL1603_18,VAL1603_18,1,KJ639272,ATCC 58811,100,1445,Pass,Pythium ultimum var. ultimum,Pythium ultimum var. ultimum,I
VAL1603_19,2016,IN,2,Intego Suite,Ethaboxam + Metalaxyl + Ipiconazole,3,root,TRUE,FALSE,FALSE,,VAL1603_19,.,.,.,.,.,.,.,.,.,.
VAL1603_19,2016,IN,2,Intego Suite,Ethaboxam + Metalaxyl + Ipiconazole,3,stem,TRUE,TRUE,FALSE,,VAL1603_19,VAL1603_19,1,HQ643723,CBS 376.72,100,1576,Pass,Globisporangium orthogonon  ,Pythium orthogonon,J
VAL1603_20,2016,IN,2,Intego Suite,Ethaboxam + Metalaxyl + Ipiconazole,3,root,TRUE,FALSE,FALSE,,VAL1603_20,.,.,.,.,.,.,.,.,.,.
VAL1603_20,2016,IN,2,Intego Suite,Ethaboxam + Metalaxyl + Ipiconazole,3,stem,TRUE,FALSE,FALSE,,VAL1603_20,.,.,.,.,.,.,.,.,.,.
VAL1603_21,2016,IN,2,Intego Suite,Ethaboxam + Metalaxyl + Ipiconazole,3,root,TRUE,FALSE,FALSE,,VAL1603_21,.,.,.,.,.,.,.,.,.,.
VAL1603_21,2016,IN,2,Intego Suite,Ethaboxam + Metalaxyl + Ipiconazole,3,stem,TRUE,FALSE,FALSE,,VAL1603_21,.,.,.,.,.,.,.,.,.,.
VAL1603_22,2016,IN,2,Intego Suite,Ethaboxam + Metalaxyl + Ipiconazole,3,root,TRUE,FALSE,FALSE,,VAL1603_22,.,.,.,.,.,.,.,.,.,.
VAL1603_22,2016,IN,2,Intego Suite,Ethaboxam + Metalaxyl + Ipiconazole,3,stem,TRUE,FALSE,FALSE,,VAL1603_22,.,.,.,.,.,.,.,.,.,.
VAL1603_23,2016,IN,1,NTC,none,1,stem,TRUE,TRUE,FALSE,,VAL1603_23,.,.,.,.,.,.,.,.,.,.
VAL1603_23,2016,IN,1,NTC,none,1,root,TRUE,TRUE,FALSE,,VAL1603_23,VAL1603_23,1,KJ639272,ATCC 58811,100,1495,Pass,Pythium ultimum var. ultimum,Pythium ultimum var. ultimum,I
VAL1603_78,2016,IN,1,NTC,none,1,stem,FALSE,.,.,,VAL1603_23,VAL1603_78,1,AY598657,CBS 398.51,100,1681,Pass,Pythium ultimum var. ultimum,Pythium ultimum var. ultimum,I
VAL1603_24,2016,IN,2,Intego Suite,Ethaboxam + Metalaxyl + Ipiconazole,3,root,TRUE,FALSE,FALSE,,VAL1603_24,.,.,.,.,.,.,.,.,.,.
VAL1603_24,2016,IN,2,Intego Suite,Ethaboxam + Metalaxyl + Ipiconazole,3,stem,TRUE,TRUE,FALSE,,VAL1603_24,VAL1603_24,1,AY598657,CBS 398.51,100,1559,Pass,Pythium ultimum var. ultimum,Pythium ultimum var. ultimum,I
VAL1603_25,2016,IN,1,NTC,none,1,root,TRUE,FALSE,FALSE,,VAL1603_25,.,.,.,.,.,.,.,.,.,.
VAL1603_25,2016,IN,1,NTC,none,1,stem,TRUE,FALSE,FALSE,,VAL1603_25,.,.,.,.,.,.,.,.,.,.
VAL1603_26,2016,IN,2,Intego Suite,Ethaboxam + Metalaxyl + Ipiconazole,3,root,TRUE,FALSE,FALSE,,VAL1603_26,.,.,.,.,.,.,.,.,.,.
VAL1603_26,2016,IN,2,Intego Suite,Ethaboxam + Metalaxyl + Ipiconazole,3,stem,TRUE,TRUE,FALSE,,VAL1603_26,VAL1603_26,1,AY598657,CBS 398.51,99,1511,Pass,Pythium ultimum var. ultimum,Pythium ultimum var. ultimum,I
VAL1603_27,2016,IN,1,NTC,none,1,stem,TRUE,FALSE,FALSE,,VAL1603_27,.,.,.,.,.,.,.,.,.,.
VAL1603_27,2016,IN,1,NTC,none,1,root,TRUE,TRUE,FALSE,,VAL1603_27,VAL1603_27,1,AY598657,CBS 398.51,100,1581,Pass,Pythium ultimum var. ultimum,Pythium ultimum var. ultimum,I
VAL1603_28,2016,IN,1,NTC,none,1,root,TRUE,FALSE,FALSE,,VAL1603_28,.,.,.,.,.,.,.,.,.,.
VAL1603_28,2016,IN,1,NTC,none,1,stem,TRUE,FALSE,FALSE,,VAL1603_28,.,.,.,.,.,.,.,.,.,.
VAL1603_29,2016,IN,1,NTC,none,1,stem,TRUE,FALSE,FALSE,,VAL1603_29,.,.,.,.,.,.,.,.,.,.
VAL1603_29,2016,IN,1,NTC,none,1,root,TRUE,TRUE,FALSE,,VAL1603_29,VAL1603_29,1,AY598657,CBS 398.51,98,1515,Pass,Pythium ultimum var. ultimum,Pythium ultimum var. ultimum,I
VAL1603_30,2016,IN,1,NTC,none,1,stem,TRUE,FALSE,FALSE,,VAL1603_30,.,.,.,.,.,.,.,.,.,.
VAL1603_30,2016,IN,1,NTC,none,1,root,TRUE,TRUE,FALSE,,VAL1603_30,VAL1603_30,1,AY598657,CBS 398.51,100,1587,Pass,Pythium ultimum var. ultimum,Pythium ultimum var. ultimum,I
VAL1603_31,2016,IN,1,NTC,none,1,root,TRUE,FALSE,FALSE,,VAL1603_31,.,.,.,.,.,.,.,.,.,.
VAL1603_31,2016,IN,1,NTC,none,1,stem,TRUE,TRUE,FALSE,,VAL1603_31,VAL1603_31,1,AY598657,CBS 398.51,100,1572,Pass,Pythium ultimum var. ultimum,Pythium ultimum var. ultimum,I
VAL1603_32,2016,IN,1,NTC,none,1,stem,TRUE,FALSE,FALSE,,VAL1603_32,.,.,.,.,.,.,.,.,.,.
VAL1603_32,2016,IN,1,NTC,none,1,root,TRUE,TRUE,FALSE,,VAL1603_32,VAL1603_32,1,KJ639272,ATCC 58811,100,1524,Pass,Pythium ultimum var. ultimum,Pythium ultimum var. ultimum,I
VAL1603_33,2016,IN,2,Intego Suite,Ethaboxam + Metalaxyl + Ipiconazole,1,root,TRUE,FALSE,FALSE,,VAL1603_33,.,.,.,.,.,.,.,.,.,.
VAL1603_33,2016,IN,2,Intego Suite,Ethaboxam + Metalaxyl + Ipiconazole,1,stem,TRUE,FALSE,FALSE,,VAL1603_33,.,.,.,.,.,.,.,.,.,.
VAL1603_34,2016,IN,2,Intego Suite,Ethaboxam + Metalaxyl + Ipiconazole,1,root,TRUE,FALSE,FALSE,,VAL1603_34,.,.,.,.,.,.,.,.,.,.
VAL1603_34,2016,IN,2,Intego Suite,Ethaboxam + Metalaxyl + Ipiconazole,1,stem,TRUE,FALSE,FALSE,,VAL1603_34,.,.,.,.,.,.,.,.,.,.
VAL1603_35,2016,IN,2,Intego Suite,Ethaboxam + Metalaxyl + Ipiconazole,1,root,TRUE,FALSE,FALSE,,VAL1603_35,.,.,.,.,.,.,.,.,.,.
VAL1603_35,2016,IN,2,Intego Suite,Ethaboxam + Metalaxyl + Ipiconazole,1,stem,TRUE,FALSE,FALSE,,VAL1603_35,.,.,.,.,.,.,.,.,.,.
VAL1603_36,2016,IN,2,Intego Suite,Ethaboxam + Metalaxyl + Ipiconazole,1,root,TRUE,FALSE,FALSE,,VAL1603_36,.,.,.,.,.,.,.,.,.,.
VAL1603_36,2016,IN,2,Intego Suite,Ethaboxam + Metalaxyl + Ipiconazole,1,stem,TRUE,FALSE,FALSE,,VAL1603_36,.,.,.,.,.,.,.,.,.,.
VAL1603_37,2016,IN,2,Intego Suite,Ethaboxam + Metalaxyl + Ipiconazole,1,root,TRUE,FALSE,FALSE,,VAL1603_37,.,.,.,.,.,.,.,.,.,.
VAL1603_37,2016,IN,2,Intego Suite,Ethaboxam + Metalaxyl + Ipiconazole,1,stem,TRUE,FALSE,FALSE,,VAL1603_37,.,.,.,.,.,.,.,.,.,.
VAL1603_38,2016,IN,2,Intego Suite,Ethaboxam + Metalaxyl + Ipiconazole,1,stem,TRUE,TRUE,FALSE,,VAL1603_38,.,.,.,.,.,.,.,.,.,.
VAL1603_38,2016,IN,2,Intego Suite,Ethaboxam + Metalaxyl + Ipiconazole,1,root,TRUE,TRUE,FALSE,,VAL1603_38,VAL1603_38,1,HQ643829,ADC 9759,100,1495,Pass,Pythium sp. nov.,Pythium sp. nov. Clade F,F
VAL1603_82,2016,IN,2,Intego Suite,Ethaboxam + Metalaxyl + Ipiconazole,1,stem,FALSE,.,.,,VAL1603_38,VAL1603_82,1,AY598657,CBS 398.51,100,1594,Pass,Pythium ultimum var. ultimum,Pythium ultimum var. ultimum,I
VAL1603_83,2016,IN,3,Cruisermaxx,Mefenoxam + Fludioxonil,1,root,FALSE,.,.,,VAL1603_38,VAL1603_83,1,HQ643829,ADC 9759,100,1533,Pass,Pythium sp. nov.,Pythium sp. nov. Clade F,F
VAL1603_39,2016,IN,2,Intego Suite,Ethaboxam + Metalaxyl + Ipiconazole,1,stem,TRUE,FALSE,FALSE,,VAL1603_39,.,.,.,.,.,.,.,.,.,.
VAL1603_39,2016,IN,2,Intego Suite,Ethaboxam + Metalaxyl + Ipiconazole,1,root,TRUE,TRUE,FALSE,,VAL1603_39,VAL1603_39,1,AY598645,CBS 453.67,100,1676,Pass,Pythium sylvaticum  ,Pythium sylvaticum,F
VAL1603_40,2016,IN,2,Intego Suite,Ethaboxam + Metalaxyl + Ipiconazole,1,root,TRUE,FALSE,FALSE,,VAL1603_40,.,.,.,.,.,.,.,.,.,.
VAL1603_40,2016,IN,2,Intego Suite,Ethaboxam + Metalaxyl + Ipiconazole,1,stem,TRUE,FALSE,FALSE,,VAL1603_40,.,.,.,.,.,.,.,.,.,.
VAL1603_41,2016,IN,3,Cruisermaxx,Mefenoxam + Fludioxonil,3,root,TRUE,FALSE,FALSE,,VAL1603_41,.,.,.,.,.,.,.,.,.,.
VAL1603_41,2016,IN,3,Cruisermaxx,Mefenoxam + Fludioxonil,3,stem,TRUE,TRUE,FALSE,,VAL1603_41,VAL1603_41,1,AY598657,CBS 398.51,100,1618,Pass,Pythium ultimum var. ultimum,Pythium ultimum var. ultimum,I
VAL1603_42,2016,IN,3,Cruisermaxx,Mefenoxam + Fludioxonil,3,stem,TRUE,FALSE,FALSE,,VAL1603_42,.,.,.,.,.,.,.,.,.,.
VAL1603_42,2016,IN,3,Cruisermaxx,Mefenoxam + Fludioxonil,3,root,TRUE,TRUE,FALSE,,VAL1603_42,VAL1603_42,1,AY598654,CBS 450.67,99,1524,Pass,Pythium heterothallicum  ,Pythium heterothallicum,I
VAL1603_43,2016,IN,3,Cruisermaxx,Mefenoxam + Fludioxonil,3,root,TRUE,FALSE,FALSE,,VAL1603_43,.,.,.,.,.,.,.,.,.,.
VAL1603_43,2016,IN,3,Cruisermaxx,Mefenoxam + Fludioxonil,3,stem,TRUE,FALSE,FALSE,,VAL1603_43,.,.,.,.,.,.,.,.,.,.
VAL1603_44,2016,IN,3,Cruisermaxx,Mefenoxam + Fludioxonil,3,root,TRUE,FALSE,FALSE,,VAL1603_44,.,.,.,.,.,.,.,.,.,.
VAL1603_44,2016,IN,3,Cruisermaxx,Mefenoxam + Fludioxonil,3,stem,TRUE,FALSE,FALSE,,VAL1603_44,.,.,.,.,.,.,.,.,.,.
VAL1603_45,2016,IN,3,Cruisermaxx,Mefenoxam + Fludioxonil,3,root,TRUE,FALSE,FALSE,,VAL1603_45,.,.,.,.,.,.,.,.,.,.
VAL1603_45,2016,IN,3,Cruisermaxx,Mefenoxam + Fludioxonil,3,stem,TRUE,FALSE,FALSE,,VAL1603_45,.,.,.,.,.,.,.,.,.,.
VAL1603_46,2016,IN,3,Cruisermaxx,Mefenoxam + Fludioxonil,3,root,TRUE,FALSE,FALSE,,VAL1603_46,.,.,.,.,.,.,.,.,.,.
VAL1603_46,2016,IN,3,Cruisermaxx,Mefenoxam + Fludioxonil,3,stem,TRUE,FALSE,FALSE,,VAL1603_46,.,.,.,.,.,.,.,.,.,.
VAL1603_47,2016,IN,3,Cruisermaxx,Mefenoxam + Fludioxonil,3,stem,TRUE,FALSE,FALSE,,VAL1603_47,.,.,.,.,.,.,.,.,.,.
VAL1603_47,2016,IN,3,Cruisermaxx,Mefenoxam + Fludioxonil,3,root,TRUE,TRUE,FALSE,,VAL1603_47,VAL1603_47,1,HQ643876,BR 1037,99,1485,Pass,Pythium ultimum var. ultimum,Pythium ultimum var. ultimum,I
VAL1603_48,2016,IN,2,Intego Suite,Ethaboxam + Metalaxyl + Ipiconazole,2,root,TRUE,FALSE,FALSE,,VAL1603_48,.,.,.,.,.,.,.,.,.,.
VAL1603_48,2016,IN,2,Intego Suite,Ethaboxam + Metalaxyl + Ipiconazole,2,stem,TRUE,FALSE,FALSE,,VAL1603_48,.,.,.,.,.,.,.,.,.,.
VAL1603_49,2016,IN,3,Cruisermaxx,Mefenoxam + Fludioxonil,3,root,TRUE,FALSE,FALSE,,VAL1603_49,.,.,.,.,.,.,.,.,.,.
VAL1603_49,2016,IN,3,Cruisermaxx,Mefenoxam + Fludioxonil,3,stem,TRUE,FALSE,FALSE,,VAL1603_49,.,.,.,.,.,.,.,.,.,.
VAL1603_50,2016,IN,2,Intego Suite,Ethaboxam + Metalaxyl + Ipiconazole,2,root,TRUE,FALSE,FALSE,,VAL1603_50,.,.,.,.,.,.,.,.,.,.
VAL1603_50,2016,IN,2,Intego Suite,Ethaboxam + Metalaxyl + Ipiconazole,2,stem,TRUE,FALSE,FALSE,,VAL1603_50,.,.,.,.,.,.,.,.,.,.
VAL1603_51,2016,IN,2,Intego Suite,Ethaboxam + Metalaxyl + Ipiconazole,2,root,TRUE,FALSE,FALSE,,VAL1603_51,.,.,.,.,.,.,.,.,.,.
VAL1603_51,2016,IN,2,Intego Suite,Ethaboxam + Metalaxyl + Ipiconazole,2,stem,TRUE,FALSE,FALSE,,VAL1603_51,.,.,.,.,.,.,.,.,.,.
VAL1603_52,2016,IN,3,Cruisermaxx,Mefenoxam + Fludioxonil,2,root,TRUE,FALSE,FALSE,,VAL1603_52,.,.,.,.,.,.,.,.,.,.
VAL1603_52,2016,IN,3,Cruisermaxx,Mefenoxam + Fludioxonil,2,stem,TRUE,FALSE,FALSE,,VAL1603_52,.,.,.,.,.,.,.,.,.,.
VAL1603_53,2016,IN,2,Intego Suite,Ethaboxam + Metalaxyl + Ipiconazole,2,root,TRUE,FALSE,FALSE,,VAL1603_53,.,.,.,.,.,.,.,.,.,.
VAL1603_53,2016,IN,2,Intego Suite,Ethaboxam + Metalaxyl + Ipiconazole,2,stem,TRUE,FALSE,FALSE,,VAL1603_53,.,.,.,.,.,.,.,.,.,.
VAL1603_54,2016,IN,2,Intego Suite,Ethaboxam + Metalaxyl + Ipiconazole,2,stem,TRUE,TRUE,FALSE,,VAL1603_54,.,.,.,.,.,.,.,.,.,.
VAL1603_54,2016,IN,2,Intego Suite,Ethaboxam + Metalaxyl + Ipiconazole,2,root,TRUE,TRUE,FALSE,,VAL1603_54,VAL1603_54,1,AY598645,CBS 453.67,100,1583,Pass,Pythium sylvaticum  ,Pythium sylvaticum,F
VAL1603_75,2016,IN,2,Intego Suite,Ethaboxam + Metalaxyl + Ipiconazole,2,stem,FALSE,.,.,,VAL1603_54,VAL1603_75,1,HQ643723,CBS 376.72,100,1616,Pass,Globisporangium orthogonon  ,Pythium orthogonon,J
VAL1603_55,2016,IN,3,Cruisermaxx,Mefenoxam + Fludioxonil,2,root,TRUE,FALSE,FALSE,,VAL1603_55,.,.,.,.,.,.,.,.,.,.
VAL1603_55,2016,IN,3,Cruisermaxx,Mefenoxam + Fludioxonil,2,stem,TRUE,FALSE,FALSE,,VAL1603_55,.,.,.,.,.,.,.,.,.,.
VAL1603_56,2016,IN,2,Intego Suite,Ethaboxam + Metalaxyl + Ipiconazole,2,root,TRUE,FALSE,FALSE,,VAL1603_56,.,.,.,.,.,.,.,.,.,.
VAL1603_56,2016,IN,2,Intego Suite,Ethaboxam + Metalaxyl + Ipiconazole,2,stem,TRUE,TRUE,FALSE,,VAL1603_56,VAL1603_56,1,AY598657,CBS 398.51,100,1613,Pass,Pythium ultimum var. ultimum,Pythium ultimum var. ultimum,I
VAL1603_57,2016,IN,3,Cruisermaxx,Mefenoxam + Fludioxonil,2,root,TRUE,FALSE,FALSE,,VAL1603_57,.,.,.,.,.,.,.,.,.,.
VAL1603_57,2016,IN,3,Cruisermaxx,Mefenoxam + Fludioxonil,2,stem,TRUE,TRUE,FALSE,,VAL1603_57,VAL1603_57,1,AY598657,CBS 398.51,99,1522,Pass,Pythium ultimum var. ultimum,Pythium ultimum var. ultimum,I
VAL1603_58,2016,IN,3,Cruisermaxx,Mefenoxam + Fludioxonil,2,root,TRUE,FALSE,FALSE,,VAL1603_58,.,.,.,.,.,.,.,.,.,.
VAL1603_58,2016,IN,3,Cruisermaxx,Mefenoxam + Fludioxonil,2,stem,TRUE,FALSE,FALSE,,VAL1603_58,.,.,.,.,.,.,.,.,.,.
VAL1603_59,2016,IN,3,Cruisermaxx,Mefenoxam + Fludioxonil,2,root,TRUE,FALSE,FALSE,,VAL1603_59,.,.,.,.,.,.,.,.,.,.
VAL1603_59,2016,IN,3,Cruisermaxx,Mefenoxam + Fludioxonil,2,stem,TRUE,FALSE,FALSE,,VAL1603_59,.,.,.,.,.,.,.,.,.,.
VAL1603_60,2016,IN,2,Intego Suite,Ethaboxam + Metalaxyl + Ipiconazole,2,root,TRUE,FALSE,FALSE,,VAL1603_60,.,.,.,.,.,.,.,.,.,.
VAL1603_60,2016,IN,2,Intego Suite,Ethaboxam + Metalaxyl + Ipiconazole,2,stem,TRUE,FALSE,FALSE,,VAL1603_60,.,.,.,.,.,.,.,.,.,.
VAL1603_61,2016,IN,3,Cruisermaxx,Mefenoxam + Fludioxonil,2,stem,TRUE,FALSE,FALSE,,VAL1603_61,.,.,.,.,.,.,.,.,.,.
VAL1603_61,2016,IN,3,Cruisermaxx,Mefenoxam + Fludioxonil,2,root,TRUE,TRUE,FALSE,,VAL1603_61,VAL1603_61,1,HQ643829,ADC 9759,100,1543,Pass,Pythium sp. nov.,Pythium sp. nov. Clade F,F
VAL1603_62,2016,IN,2,Intego Suite,Ethaboxam + Metalaxyl + Ipiconazole,2,stem,TRUE,FALSE,FALSE,,VAL1603_62,.,.,.,.,.,.,.,.,.,.
VAL1603_62,2016,IN,2,Intego Suite,Ethaboxam + Metalaxyl + Ipiconazole,2,root,TRUE,TRUE,FALSE,,VAL1603_62,VAL1603_62,1,AY598645,CBS 453.67,100,1668,Pass,Pythium sylvaticum  ,Pythium sylvaticum,F
VAL1603_63,2016,IN,3,Cruisermaxx,Mefenoxam + Fludioxonil,2,root,TRUE,FALSE,FALSE,,VAL1603_63,.,.,.,.,.,.,.,.,.,.
VAL1603_63,2016,IN,3,Cruisermaxx,Mefenoxam + Fludioxonil,2,stem,TRUE,FALSE,FALSE,,VAL1603_63,.,.,.,.,.,.,.,.,.,.
VAL1603_64,2016,IN,3,Cruisermaxx,Mefenoxam + Fludioxonil,2,root,TRUE,FALSE,FALSE,,VAL1603_64,.,.,.,.,.,.,.,.,.,.
VAL1603_64,2016,IN,3,Cruisermaxx,Mefenoxam + Fludioxonil,2,stem,TRUE,FALSE,FALSE,,VAL1603_64,.,.,.,.,.,.,.,.,.,.
VAL1603_65,2016,IN,3,Cruisermaxx,Mefenoxam + Fludioxonil,1,root,TRUE,FALSE,FALSE,,VAL1603_65,.,.,.,.,.,.,.,.,.,.
VAL1603_65,2016,IN,3,Cruisermaxx,Mefenoxam + Fludioxonil,1,stem,TRUE,FALSE,FALSE,,VAL1603_65,.,.,.,.,.,.,.,.,.,.
VAL1603_66,2016,IN,3,Cruisermaxx,Mefenoxam + Fludioxonil,1,root,TRUE,FALSE,FALSE,,VAL1603_66,.,.,.,.,.,.,.,.,.,.
VAL1603_66,2016,IN,3,Cruisermaxx,Mefenoxam + Fludioxonil,1,stem,TRUE,FALSE,FALSE,,VAL1603_66,.,.,.,.,.,.,.,.,.,.
VAL1603_67,2016,IN,3,Cruisermaxx,Mefenoxam + Fludioxonil,1,root,TRUE,FALSE,FALSE,,VAL1603_67,.,.,.,.,.,.,.,.,.,.
VAL1603_67,2016,IN,3,Cruisermaxx,Mefenoxam + Fludioxonil,1,stem,TRUE,FALSE,FALSE,,VAL1603_67,.,.,.,.,.,.,.,.,.,.
VAL1603_68,2016,IN,3,Cruisermaxx,Mefenoxam + Fludioxonil,1,root,TRUE,FALSE,FALSE,,VAL1603_68,.,.,.,.,.,.,.,.,.,.
VAL1603_68,2016,IN,3,Cruisermaxx,Mefenoxam + Fludioxonil,1,stem,TRUE,FALSE,FALSE,,VAL1603_68,.,.,.,.,.,.,.,.,.,.
VAL1603_69,2016,IN,3,Cruisermaxx,Mefenoxam + Fludioxonil,1,stem,TRUE,FALSE,FALSE,,VAL1603_69,.,.,.,.,.,.,.,.,.,.
